图鉴序号,枪支名称,类型,建造时间,星级,等级,血量,伤害,命中,回避,射速,穿甲,护甲,暴击几率,暴击伤害,弹链,移速,战斗效能,平Adps,理论肉度
1,柯尔特左轮,HG,00:50,4,100,400,36,49,76,47,10,0,20,1.5,0,15,2671,31.37827621,15.74074074
2,M1911,HG,00:20,2,100,365,27,50,74,57,10,0,20,1.5,0,15,2425,28.80177515,14.22260802
3,M9,HG,00:40,3,100,380,29,56,66,61,10,0,20,1.5,0,15,2546,34.16197183,14.22067901
5,纳甘左轮,HG,00:20,2,100,350,32,46,92,44,10,0,20,1.5,0,15,2467,25.2512054,14.85339506
6,托卡列夫,HG,00:45,3,100,430,31,47,66,52,10,0,20,1.5,0,15,2573,29.93001152,16.09182099
7,斯捷奇金,HG,00:55,4,100,415,28,44,66,65,10,0,20,1.5,0,15,2653,32.63522476,15.5304784
8,马卡洛夫,HG,00:40,3,100,315,26,61,96,61,10,0,20,1.5,0,15,2575,31.453125,13.61111111
9,P38,HG,00:20,2,100,330,28,49,81,57,10,0,20,1.5,0,15,2399,29.63852163,13.30439815
10,PPK,HG,00:22,2,100,285,25,59,100,63,10,0,20,1.5,0,15,2448,31.45857814,12.53472222
11,P08,HG,00:30,3,100,350,31,46,80,55,10,0,20,1.5,0,15,2516,30.87613843,14.04320988
12,C96,HG,00:30,3,100,415,29,41,61,62,10,0,20,1.5,0,15,2522,31.7109375,15.13020833
13,92式,HG,00:35,3,100,315,31,46,80,61,10,0,20,1.5,0,15,2481,34.73565574,12.63888889
14,阿斯特拉左轮,HG,00:40,3,100,400,33,45,68,52,10,0,20,1.5,0,15,2538,31.37946429,15.12345679
15,格洛克17,HG,00:45,3,100,315,29,58,87,61,10,0,20,1.5,0,15,2555,34.41267123,13.06423611
16,汤姆森,SMG,02:30,5,100,1190,31,12,56,82,10,0,5,1.5,0,12,4333,25.43518519,42.23765432
17,M3,SMG,01:30,2,100,925,30,13,67,68,10,0,5,1.5,0,12,3737,21.09070617,34.79456019
18,MAC-10,SMG,02:00,3,100,880,28,11,68,91,10,0,5,1.5,0,12,3728,24.79957933,33.27160494
19,FMG-9,SMG,02:10,3,100,705,26,13,90,92,10,0,5,1.5,0,12,3686,25.43052455,29.64699074
20,Vector,SMG,02:35,5,100,925,30,11,71,101,10,0,5,1.5,0,12,4109,30.20089286,35.50829475
21,PPSh-41,SMG,01:50,2,100,970,26,11,56,93,10,0,5,1.5,0,12,3601,23.1733774,34.42901235
22,PPS-43,SMG,02:10,3,100,880,33,13,65,74,10,0,5,1.5,0,12,3676,25.34129464,32.76234568
23,PP-90,SMG,02:20,4,100,795,25,13,86,96,10,0,5,1.5,0,12,3962,26.17410714,32.81828704
24,PP-2000,SMG,01:10,2,100,795,30,11,74,80,10,0,5,1.5,0,12,3541,23.48958333,30.97800926
25,MP40,SMG,01:30,2,100,925,29,13,58,76,10,0,5,1.5,0,12,3537,23.66940789,33.18865741
26,MP5,SMG,02:20,4,100,840,30,13,68,89,10,0,5,1.5,0,12,3729,28.99972098,31.75925926
27,蝎式,SMG,02:00,3,100,795,24,13,83,95,10,0,5,1.5,0,12,3831,25.22232143,32.35821759
29,司登MkⅡ,SMG,01:40,3,100,925,26,15,75,78,10,0,5,1.5,0,12,4038,23.0625,36.22202932
31,伯莱塔38型,SMG,01:30,2,100,1015,32,12,52,75,10,0,5,1.5,0,12,3611,24.81578947,35.24305556
32,微型乌兹,SMG,01:40,3,100,795,24,11,79,104,10,0,5,1.5,0,12,3731,24.62534341,31.74479167
